1.646398,	-0.003135,	-4.507241,	-6.977090,	-2.535859,	-7.176550,	
-1.867400,	-0.000206,	-10.352820,	1.163860,	-5.229503,	-0.363555,	
0.074600,	-0.011873,	-2.204318,	-8.258854,	5.979079,	-14.215592,	
-1.459712,	-0.003723,	-5.698719,	-7.648240,	-2.427210,	-7.370188,	
-0.975613,	-0.002706,	6.354145,	-5.783031,	5.709200,	-8.996736,	
1.832227,	-0.003022,	-5.609361,	-5.394063,	-3.633761,	-6.343857,	
-2.099210,	-0.001346,	-8.416306,	-0.833259,	-5.057519,	-3.377195,	
0.000940,	-0.003041,	14.027304,	5.349996,	8.677214,	-3.327149,	
-0.711022,	-0.002053,	-7.727800,	-9.718520,	-0.246592,	-9.531348,	
3.076117,	-0.004436,	-0.321576,	-3.445307,	-3.746526,	-7.184855,	
0.898949,	-0.003684,	-10.842951,	-8.374884,	-3.498613,	-6.207335,	
-0.750298,	-0.000835,	7.549348,	-4.251170,	7.281929,	-9.581943,	
0.240250,	-0.000629,	-13.499896,	-9.141894,	-4.373073,	-4.895078,	
